Tempo (s),DC Current (V),DC Current (A),Torque (Nm),Speed (rpm),Temp Mos 1 (ºC),Temp Mos 2 (ºC),Temp Motor (ºC),Temp do sensor capacitivo (ºC),Velocidade atual (km/h),km total,km atual,Driving Mode,Brake Switch,,Data (DD/MM/AA):,18,11,24,,Hora inicio:,,,Hora Fim:,
61.887,74.8,0,0,303,18,18,32,18,30,0,0.1,ECO,OFF,,,,,,,,,,,
62.137,74.8,-3.8,-9.27,298,18,18,32,18,29,0,0.1,ECO,ON,,,,,,,,,,,
62.387,75.2,-28.7,-59.62,-918,18,18,32,18,27,0,0.1,ECO,ON,,,,,,,,,,,
62.637,75.4,-48.6,-109.98,257,18,18,31,18,25,0,0.1,ECO,ON,,,,,,,,,,,
62.887,75.4,-61.7,-141.6,231,18,18,32,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
63.137,74.9,-8.8,-15.72,226,18,18,32,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
63.387,74.9,3.4,9.99,220,18,18,31,18,21,0,0.1,ECO,OFF,,,,,,,,,,,
63.637,74.6,18.9,42.65,218,18,18,32,18,21,0,0.1,ECO,OFF,,,,,,,,,,,
63.887,74.8,0,0,217,18,18,32,18,21,0,0.1,ECO,OFF,,,,,,,,,,,
64.137,75.0,-11.6,-33.24,204,18,18,32,18,19,0,0.1,ECO,ON,,,,,,,,,,,
64.387,75.1,-27.7,-83.59,187,18,18,33,18,18,0,0.1,ECO,ON,,,,,,,,,,,
64.637,75.0,-39.9,-133.45,166,18,18,33,18,16,0,0.1,ECO,ON,,,,,,,,,,,
64.887,75.0,-5.3,-12.37,157,19,19,33,19,15,0,0.1,ECO,OFF,,,,,,,,,,,
65.137,74.6,22.2,71.68,158,18,18,32,18,15,0,0.1,ECO,OFF,,,,,,,,,,,
65.387,74.5,25,78.85,162,18,18,32,18,15,0,0.1,ECO,OFF,,,,,,,,,,,
65.637,74.6,20.7,62.09,164,18,18,32,18,15,0,0.1,ECO,OFF,,,,,,,,,,,
65.887,74.6,18.5,57.6,161,18,18,32,18,15,0,0.1,ECO,OFF,,,,,,,,,,,
66.137,74.4,27.3,83.08,167,18,18,32,18,16,0,0.1,ECO,OFF,,,,,,,,,,,
66.387,74.4,33,98.79,169,19,19,33,19,16,0,0.1,ECO,OFF,,,,,,,,,,,
66.637,74.2,39.4,117.62,169,18,18,32,18,16,0,0.1,ECO,OFF,,,,,,,,,,,
66.887,74.1,43.2,115.64,185,18,18,33,18,17,0,0.1,ECO,OFF,,,,,,,,,,,
67.137,74.4,34.9,92.58,188,19,19,33,19,18,0,0.1,ECO,OFF,,,,,,,,,,,
67.387,74.6,23.2,58.29,192,19,19,33,19,18,0,0.1,ECO,OFF,,,,,,,,,,,
67.637,74.6,19.9,50.6,193,19,19,33,19,18,0,0.1,ECO,OFF,,,,,,,,,,,
67.887,74.6,18.1,46.55,198,19,19,33,19,19,0,0.1,ECO,OFF,,,,,,,,,,,
68.137,74.7,8.3,13.1,197,19,19,33,19,19,0,0.1,ECO,OFF,,,,,,,,,,,
68.387,74.8,0,0,195,19,19,33,19,19,0,0.1,ECO,OFF,,,,,,,,,,,
68.637,74.8,0,0,193,19,19,33,19,18,0,0.1,ECO,OFF,,,,,,,,,,,
68.887,74.9,0,0,189,19,19,33,19,18,0,0.1,ECO,OFF,,,,,,,,,,,
69.137,74.8,0,0,184,19,19,33,19,17,0,0.1,ECO,OFF,,,,,,,,,,,
